,word,sentiment_score
109,:-),0.3352166101018167
110,:-)),2.0794569774406066
111,:-*,1.7
112,":-,",1.1
113,:-.,-0.9
114,:-/,-1.2
115,:-<,-1.5
116,:-d,2.3
117,:-D,2.3
118,:-o,0.1
119,:-p,1.5
120,:-[,-1.6
121,:-\,-0.9
122,:-c,-1.3
123,:-|,-0.7
124,:-||,-2.5
125,:-Þ,0.9
126,:/,-0.06720494322615565
127,:3,2.3
128,:<,-2.1
129,:>,2.1
130,:?),1.3
131,:?c,-1.6
132,:@,-2.5
133,:d,2.3
134,:D,1.085014715447674
135,:l,-1.7
136,:o,-0.4
137,:p,-0.03356482989563113
138,:s,-1.2
139,:[,-2.0
140,:\,-1.3
141,:],2.2
142,:^),2.1
143,:^*,2.6
144,:^/,-1.2
145,:^\,-1.0
146,:^|,-1.0
147,:c,-2.1
148,:c),2.0
149,:o),2.1
150,:o/,-1.4
151,:o\,-1.1
152,:o|,-0.6
153,:{,-1.9
154,:|,-0.4
155,:},2.1
156,:Þ,1.1
157,;),0.6014924959889714
158,;-),0.4491115991215811
159,;-*,2.2
160,;-],0.7
161,;d,0.8
162,;D,0.8
163,;],0.6
164,;^),1.4
165,</3,-3.0
166,<3,1.9
167,<:,2.1
168,<:-|,-1.4
169,=),0.9875441596430744
170,=-3,2.0
171,=-d,2.4
172,=-D,2.4
173,=/,-1.4
174,=3,2.1
175,=d,2.3
176,=D,2.3
177,=l,-1.2
178,=\,-1.2
179,=],1.6
180,=p,1.3
181,=|,-0.8
182,>-:,-2.0
183,>.<,-1.3
184,>:,-2.1
185,>:(,-2.7
186,>:),0.4
187,>:-(,-2.7
188,>:-),-0.4
189,>:/,-1.6
190,>:o,-1.2
191,>:p,1.0
192,>:[,-2.1
193,>:\,-1.7
194,>;(,-2.9
195,>;),0.1
196,>_>^,2.1
197,@:,-2.1
198,@>-->--,2.1
199,@}-;-'---,2.2
200,aas,2.5
201,aayf,2.7
202,afu,-2.9
203,alol,2.8
204,ambw,2.9
205,aml,3.4
206,atab,-1.9
207,awol,-1.3
208,ayc,0.2
209,ayor,-1.2
210,aug-00,0.3
211,bfd,-2.7
212,bfe,-2.6
213,bff,2.9
214,bffn,1.0
215,bl,2.3
216,bsod,-2.2
217,btd,-2.1
218,btdt,-0.1
219,bz,0.4
220,b^d,2.6
221,cwot,-2.3
222,d-':,-2.5
223,d8,-3.2
224,d:,1.2
225,d:<,-3.2
226,d;,-2.9
227,d=,1.5
228,doa,-2.3
229,dx,-0.15598845340317327
230,ez,-0.2456680007203153
231,fav,1.7964684843876781
232,fcol,-1.8
233,ff,1.8
234,ffs,-2.8
235,fkm,-2.4
236,foaf,1.8
237,ftw,0.8761030145737672
238,fu,-3.7
239,fubar,-3.0
240,fwb,2.5
241,fyi,-0.20311636192387242
242,fysa,0.4
243,g1,1.4
244,gg,1.2
245,gga,1.7
246,gigo,-0.6
247,gj,2.0
248,gl,0.38921145762052467
249,gla,2.5
250,gn,1.2
251,gr8,2.7
252,grrr,-0.4
253,gt,1.1
254,h&k,2.3
255,hagd,2.2
256,hagn,2.2
257,hago,1.2
258,hak,1.9
259,hand,0.12824344750876981
260,hho1/2k,1.4
261,hhoj,2.0
262,hhok,0.9
263,hugz,2.0
264,hi5,1.9
265,idk,-0.029416852416560786
266,ijs,0.7
267,ilu,3.4
268,iluaaf,2.7
269,ily,3.4
270,ily2,2.6
271,iou,0.7
272,iyq,2.3
273,j/j,2.0
274,j/k,1.6
275,j/p,1.4
276,j/t,-0.2
277,j/w,1.0
278,j4f,1.4
279,j4g,1.7
280,jho,0.8
281,jhomf,1.0
282,jj,3.3040527051307644
283,jk,0.3108251301503446
284,jp,-0.03210548946538629
285,jt,0.9
286,jw,1.6
287,jealz,-1.2
288,k4y,2.3
289,kfy,2.3
290,kia,-3.2
291,kk,1.5
292,kmuf,2.2
293,l,0.6789941342745098
294,l&r,2.2
295,laoj,1.3
296,lmao,0.10262363325528887
297,lmbao,1.8
298,lmfao,-0.18231331517844346
299,lmso,2.7
300,lol,1.0887550867821678
301,lolz,0.2731084048712317
302,lts,1.6
303,ly,-0.07236475403309302
304,ly4e,2.7
305,lya,3.3
306,lyb,3.0
307,lyl,3.1
308,lylab,2.7
309,lylas,2.6
310,lylb,1.6
311,m8,1.4
312,mia,-1.2
313,mml,-0.7198610560750036
314,mofo,-2.4
315,muah,2.3
316,mubar,-1.0
317,musm,0.9
318,mwah,2.5
319,n1,1.9
320,nbd,1.3
321,nbif,-0.5
322,nfc,0.4945954424892337
323,nfw,-2.4
324,nh,0.583676654748725
325,nimby,-0.8
326,nimjd,-0.7
327,nimq,-0.2
328,nimy,-1.4
329,nitl,-1.5
330,nme,-2.1
331,noyb,-0.7
332,np,-0.29621136113898067
333,ntmu,1.4
334,o-8,-0.5
335,o-:,-0.3
336,o-|,-1.1
337,o.o,-0.8
338,O.o,-0.6
339,o.O,-0.6
340,o:,-0.2
341,o:),1.5
342,o:-),2.0
343,o:-3,2.2
344,o:3,2.3
345,o:<,-0.3
346,o;^),1.6
347,ok,-0.10978111754949949
348,o_o,-0.5
349,O_o,-0.5
350,o_O,-0.5
351,pita,-2.4
352,pls,0.3
353,plz,-0.05203692048199791
354,pmbi,0.8
355,pmfji,0.3
356,pmji,0.7
357,po,1.1234064398368655
358,ptl,2.6
359,pu,-1.1
360,qq,-2.2
361,qt,1.8
362,r&r,2.4
363,rofl,2.7
364,roflmao,2.5
365,rotfl,2.6
366,rotflmao,2.8
367,rotflmfao,2.5
368,rotflol,3.0
369,rotgl,2.9
370,rotglmao,1.8
371,s:,-1.1
372,sapfu,-1.1
373,sete,2.8
374,sfete,2.7
375,sgtm,2.4
376,slap,-0.20407713255642165
377,slaw,2.1
378,smh,-1.3
379,snafu,-2.5
380,sob,-1.0
381,swak,2.3
382,tgif,2.3
383,thks,1.4
384,thx,0.2388363866388816
385,tia,2.3
386,tmi,-0.3
387,tnx,-0.2109137559969256
388,true,0.11979420767753667
389,tx,0.8542338077175363
390,txs,1.1
391,ty,0.32231846621659294
392,tyvm,2.5
393,urw,1.9
394,vbg,2.1
395,vbs,3.1
396,vip,2.3
397,vwd,2.6
398,vwp,2.1
399,wag,-0.2
400,wd,2.7
401,wilco,0.9
402,wp,1.0
403,wtf,-0.16788847566817283
404,wtg,2.1
405,wth,0.5317664567415017
406,x-d,2.6
407,x-p,1.7
408,xd,2.8
409,xlnt,3.0
410,xoxo,3.0
411,xoxozzz,2.3
412,xp,1.6
413,xqzt,1.6
414,xtc,0.8
415,yolo,1.1
416,yoyo,0.4
417,yvw,1.6
418,yw,1.8
419,ywia,2.5
420,zzz,-1.2
421,[-;,0.5
422,[:,1.3
423,[;,1.0
424,[=,1.7
425,\-:,-1.0
426,\:,-1.0
427,\:<,-1.7
428,\=,-1.1
429,\^:,-1.3
430,\o/,2.2
431,\o:,-1.2
432,]-:,-2.1
433,]:,-1.6
434,]:<,-2.5
435,^<_<,1.4
436,^urs,-2.8
437,abandon,-0.8101179006152501
438,abandoned,-2.0
439,abandoner,-1.9
440,abandoners,-1.9
441,abandoning,-1.6
442,abandonment,-2.4
443,abandonments,-1.7
444,abandons,-1.3
445,abducted,-2.3
446,abduction,-2.8
447,abductions,-2.0
448,abhor,-2.0
449,abhorred,-2.4
450,abhorrent,-3.1
451,abhors,-2.9
452,abilities,1.0
453,ability,0.6063494312388237
454,aboard,1.240766620083849
455,absentee,-1.1
456,absentees,-0.8
457,absolve,1.2
458,absolved,1.5
459,absolves,1.3
460,absolving,1.6
461,abuse,-3.2
462,abused,-2.3
463,abuser,-2.6
464,abusers,-2.6
465,abuses,-2.6
466,abusing,-2.0
467,abusive,-3.2
468,abusively,-2.8
469,abusiveness,-2.5
470,abusivenesses,-3.0
471,accept,0.35080688094762746
472,acceptabilities,1.6
473,acceptability,1.1
474,acceptable,1.3
475,acceptableness,1.3
476,acceptably,1.5
477,acceptance,2.0
478,acceptances,1.7
479,acceptant,1.6
480,acceptation,1.3
481,acceptations,0.9
482,accepted,1.1
483,accepting,1.6
484,accepts,1.3
485,accident,-2.1
486,accidental,-0.3
487,accidentally,-1.4
488,accidents,-1.3
489,accomplish,1.8
490,accomplished,1.9
491,accomplishes,1.7
492,accusation,-1.0
493,accusations,-1.3
494,accuse,-0.8
495,accused,-1.2
496,accuses,-1.4
497,accusing,-0.7
498,ache,-1.6
499,ached,-1.6
500,aches,-1.0
501,achievable,1.3
502,aching,-2.2
503,acquit,0.8
504,acquits,0.1
505,acquitted,1.0
506,acquitting,1.3
507,acrimonious,-1.7
508,active,0.2167057113572741
509,actively,0.7532384564925974
510,activeness,0.6
511,activenesses,0.8
512,actives,1.1
513,adequate,0.9
514,admirability,2.4
515,admirable,2.6
516,admirableness,2.2
517,admirably,2.5
518,admiral,1.3
519,admirals,1.5
520,admiralties,1.6
521,admiralty,1.2
522,admiration,2.5
523,admirations,1.6
524,admire,2.1
525,admired,2.3
526,admirer,1.8
527,admirers,1.7
528,admires,1.5
529,admiring,1.6
530,admiringly,2.3
531,admit,0.38820742609394726
532,admits,1.2
533,admitted,0.4
534,admonished,-1.9
535,adopt,1.2770104720593851
536,adopts,0.7
537,adorability,2.2
538,adorable,2.2
539,adorableness,2.5
540,adorably,2.1
541,adoration,2.9
542,adorations,2.2
543,adore,2.6
544,adored,1.8
545,adorer,1.7
546,adorers,2.1
547,adores,1.6
548,adoring,2.6
549,adoringly,2.4
550,adorn,0.9
551,adorned,0.8
552,adorner,1.3
553,adorners,0.9
554,adorning,1.0
555,adornment,1.3
556,adornments,0.8
557,adorns,0.5
558,advanced,0.3435336394489918
559,advantage,0.011094154175348812
560,advantaged,1.4
561,advantageous,1.5
562,advantageously,1.9
563,advantageousness,1.6
564,advantages,1.5
565,advantaging,1.6
566,adventure,1.3
567,adventured,1.3
568,adventurer,1.2
569,adventurers,0.9
570,adventures,1.4
571,adventuresome,1.7
572,adventuresomeness,1.3
573,adventuress,0.8
574,adventuresses,1.4
575,adventuring,2.3
576,adventurism,1.5
577,adventurist,1.4
578,adventuristic,1.7
579,adventurists,1.2
580,adventurous,1.4
581,adventurously,1.3
582,adventurousness,1.8
583,adversarial,-1.5
584,adversaries,-1.0
585,adversary,-0.8
586,adversative,-1.2
587,adversatively,-0.1
588,adversatives,-1.0
589,adverse,-1.5
590,adversely,-0.8
591,adverseness,-0.6
592,adversities,-1.5
593,adversity,-1.8
594,affected,-0.6
595,affection,2.4
596,affectional,1.9
597,affectionally,1.5
598,affectionate,1.9
599,affectionately,2.2
600,affectioned,1.8
601,affectionless,-2.0
602,affections,1.5
603,afflicted,-1.5
604,affronted,0.2
605,aggravate,-2.5
606,aggravated,-1.9
607,aggravates,-1.9
608,aggravating,-1.2
609,aggress,-1.3
610,aggressed,-1.4
611,aggresses,-0.5
612,aggressing,-0.6
613,aggression,-1.2
614,aggressions,-1.3
615,aggressive,-0.1737714816171578
616,aggressively,0.4266053247012521
617,aggressiveness,-1.8
618,aggressivities,-1.4
619,aggressivity,-0.6
620,aggressor,-0.8
621,aggressors,-0.9
622,aghast,-1.9
623,agitate,-1.7
624,agitated,-2.0
625,agitatedly,-1.6
626,agitates,-1.4
627,agitating,-1.8
628,agitation,-1.0
629,agitational,-1.2
630,agitations,-1.3
631,agitative,-1.3
632,agitato,-0.1
633,agitator,-1.4
634,agitators,-2.1
635,agog,1.9
636,agonise,-2.1
637,agonised,-2.3
638,agonises,-2.4
639,agonising,-1.5
640,agonize,-2.3
641,agonized,-2.2
642,agonizes,-2.3
643,agonizing,-2.7
644,agonizingly,-2.3
645,agony,-1.8
646,agree,0.44847274905170686
647,agreeability,1.9
648,agreeable,1.8
649,agreeableness,1.8
650,agreeablenesses,1.3
651,agreeably,1.6
652,agreed,1.1
653,agreeing,1.4
654,agreement,2.5092176130894672
655,agreements,1.1
656,agrees,0.8
657,alarm,-0.7942004247723032
658,alarmed,-1.4
659,alarming,-0.6422244517701018
660,alarmingly,-2.6
661,alarmism,-0.3
662,alarmists,-1.1
663,alarms,-1.1
664,alas,-1.1
665,alert,0.18616382983747545
666,alienation,-1.1
667,alive,0.17449774958498063
668,allergic,-1.2
669,allow,0.6457863077643051
670,alone,0.936719008548608
671,alright,0.09499422778129805
672,amaze,-0.11832019492618603
673,amazed,2.2
674,amazedly,2.1
675,amazement,2.5
676,amazements,2.2
677,amazes,2.2
678,amazing,0.6506565364537248
679,amazon,-0.07882592525775291
680,amazonite,0.2
681,amazons,-0.1
682,amazonstone,1.0
683,amazonstones,0.2
684,ambitious,0.2331188476127586
685,ambivalent,0.5
686,amor,3.0
687,amoral,-1.6
688,amoralism,-0.7
689,amoralisms,-0.7
690,amoralities,-1.2
691,amorality,-1.5
692,amorally,-1.0
693,amoretti,0.2
694,amoretto,0.6
695,amorettos,0.3
696,amorino,1.2
697,amorist,1.6
698,amoristic,1.0
699,amorists,0.1
700,amoroso,2.3
701,amorous,1.8
702,amorously,2.3
703,amorousness,2.0
704,amorphous,-0.2
705,amorphously,0.1
706,amorphousness,0.3
707,amort,-2.1
708,amortise,0.5
709,amortised,-0.2
710,amortises,0.1
711,amortizable,0.5
712,amortization,0.6
713,amortizations,0.2
714,amortize,-0.1
715,amortized,0.8
716,amortizes,0.6
717,amortizing,0.8
718,amusable,0.7
719,amuse,1.7
720,amused,1.8
721,amusedly,2.2
722,amusement,1.5
723,amusements,1.5
724,amuser,1.1
725,amusers,1.3
726,amuses,1.7
727,amusia,0.3
728,amusias,-0.4
729,amusing,1.6
730,amusingly,0.8
731,amusingness,1.8
732,amusive,1.7
733,anger,-2.7
734,angered,-2.3
735,angering,-2.2
736,angerly,-1.9
737,angers,-2.3
738,angrier,-2.3
739,angriest,-3.1
740,angrily,-1.8
741,angriness,-1.7
742,angry,0.6542949962794241
743,anguish,-2.9
744,anguished,-1.8
745,anguishes,-2.1
746,anguishing,-2.7
747,animosity,-1.9
748,annoy,-1.9
749,annoyance,-1.3
750,annoyances,-1.8
751,annoyed,-1.6
752,annoyer,-2.2
753,annoyers,-1.5
754,annoying,0.8565344285048792
755,annoys,-1.8
756,antagonism,-1.9
757,antagonisms,-1.2
758,antagonist,-1.9
759,antagonistic,-1.7
760,antagonistically,-2.2
761,antagonists,-1.7
762,antagonize,-2.0
763,antagonized,-1.4
764,antagonizes,-0.5
765,antagonizing,-2.7
766,anti,0.05776269381779469
767,anticipation,0.9137072848066959
768,anxieties,-0.6
769,anxiety,-0.7
770,anxious,0.36010453910234297
771,anxiously,-0.9
772,anxiousness,-1.0
773,aok,2.0
774,apathetic,-1.2
775,apathetically,-0.4
776,apathies,-0.6
777,apathy,-1.2
778,apeshit,-0.9
779,apocalyptic,-3.4
780,apologise,1.6
781,apologised,0.4
782,apologises,0.8
783,apologising,0.2
784,apologize,-0.12294531656646294
785,apologized,1.3
786,apologizes,1.5
787,apologizing,-0.3
788,apology,0.08487579499757576
789,appall,-2.4
790,appalled,-2.0
791,appalling,-1.5
792,appallingly,-2.0
793,appalls,-1.9
794,appease,1.1
795,appeased,0.9
796,appeases,0.9
797,appeasing,1.0
798,applaud,2.0
799,applauded,1.5
800,applauding,2.1
801,applauds,1.4
802,applause,1.8
803,appreciate,0.8481313346121905
804,appreciated,2.3
805,appreciates,2.3
806,appreciating,1.9
807,appreciation,0.5978545807089722
808,appreciations,1.7
809,appreciative,2.6
810,appreciatively,1.8
811,appreciativeness,1.6
812,appreciator,2.6
813,appreciators,1.5
814,appreciatory,1.7
815,apprehensible,1.1
816,apprehensibly,-0.2
817,apprehension,-2.1
818,apprehensions,-0.9
819,apprehensively,-0.3
820,apprehensiveness,-0.7
821,approval,1.0827079677632891
822,approved,1.8
823,approves,1.7
824,ardent,2.1
825,arguable,-1.0
826,arguably,-1.0
827,argue,0.06225951182608145
828,argued,-1.5
829,arguer,-1.6
830,arguers,-1.4
831,argues,-1.6
832,arguing,-2.0
833,argument,0.014422293003773205
834,argumentative,-1.5
835,argumentatively,-1.8
836,argumentive,-1.5
837,arguments,-1.7
838,arrest,-1.4
839,arrested,-2.1
840,arrests,-1.9
841,arrogance,-2.4
842,arrogances,-1.9
843,arrogant,-2.2
844,arrogantly,-1.8
845,ashamed,-2.1
846,ashamedly,-1.7
847,ass,0.28740970655336073
848,assassination,-2.9
849,assassinations,-2.7
850,assault,0.1958303624903745
851,assaulted,-2.4
852,assaulting,-2.3
853,assaultive,-2.8
854,assaults,-2.5
855,asset,-0.11255043253778013
856,assets,0.7
857,assfucking,-2.5
858,assholes,-2.8
859,assurance,1.4
860,assurances,1.4
861,assure,0.0458991996224975
862,assured,1.5
863,assuredly,1.6
864,assuredness,1.4
865,assurer,0.9
866,assurers,1.1
867,assures,1.3
868,assurgent,1.3
869,assuring,1.6
870,assuror,0.5
871,assurors,0.7
872,astonished,1.6
873,astound,1.7
874,astounded,1.8
875,astounding,1.8
876,astoundingly,2.1
877,astounds,2.1
878,attachment,1.2
879,attachments,1.1
880,attack,1.1170719716536155
881,attacked,-2.0
882,attacker,-2.7
883,attackers,-2.7
884,attacking,-2.0
885,attacks,-1.9
886,attract,-0.6873846903035516
887,attractancy,0.9
888,attractant,1.3
889,attractants,1.4
890,attracted,1.8
891,attracting,2.1
892,attraction,2.0
893,attractions,1.8
894,attractive,0.4671752605642878
895,attractively,2.2
896,attractiveness,1.8
897,attractivenesses,2.1
898,attractor,1.2
899,attractors,1.2
900,attracts,1.7
901,audacious,0.9
902,authority,0.8937113196246756
903,aversion,-1.9
904,aversions,-1.1
905,aversive,-1.6
906,aversively,-0.8
907,avert,-0.15422101189623016
908,averted,-0.3
909,averts,-0.4
910,avid,1.2
911,avoid,-0.44402242288153126
912,avoidance,-1.7
913,avoidances,-1.1
914,avoided,-1.4
915,avoider,-1.8
916,avoiders,-1.4
917,avoiding,-1.4
918,avoids,-0.7
919,await,0.040474533227577714
920,awaited,-0.1
921,awaits,0.3
922,award,2.494709522858854
923,awardable,2.4
924,awarded,1.7
925,awardee,1.8
926,awardees,1.2
927,awarder,0.9
928,awarders,1.3
929,awarding,1.9
930,awards,2.0
931,awesome,1.0084083943020203
932,awful,-0.5873891766825707
933,awkward,-0.6
934,awkwardly,-1.3
935,awkwardness,-0.7
936,axe,-0.4
937,axed,-1.3
938,backed,0.1
939,backing,0.028748253144340184
940,backs,-0.2
941,bad,0.22442709720191495
942,badass,-0.6
943,badly,-0.5094732112074806
944,bailout,-1.7340180453545968
945,bamboozle,-1.5
946,bamboozled,-1.5
947,bamboozles,-1.5
948,ban,-0.31570791423922284
949,banish,-1.9
950,bankrupt,-0.27189745899793205
951,bankster,-2.1
952,banned,-2.0
953,bargain,0.8405929932182672
954,barrier,0.23949721669825474
955,bashful,-0.1
956,bashfully,0.2
957,bashfulness,-0.8
958,bastard,-0.055611294252544075
959,bastardies,-1.8
960,bastardise,-2.1
961,bastardised,-2.3
962,bastardises,-2.3
963,bastardising,-2.6
964,bastardization,-2.4
965,bastardizations,-2.1
966,bastardize,-2.4
967,bastardized,-2.0
968,bastardizes,-1.8
969,bastardizing,-2.3
970,bastardly,-2.7
971,bastards,-3.0
972,bastardy,-2.7
973,battle,1.633060491115991
974,battled,-1.2
975,battlefield,-1.6
976,battlefields,-0.9
977,battlefront,-1.2
978,battlefronts,-0.8
979,battleground,-1.7
980,battlegrounds,-0.6
981,battlement,-0.4
982,battlements,-0.4
983,battler,-0.8
984,battlers,-0.2
985,battles,-1.6
986,battleship,-0.1
987,battleships,-0.5
988,battlewagon,-0.3
989,battlewagons,-0.5
990,battling,-1.1
991,beaten,-1.8
992,beatific,1.8
993,beating,-0.3114314379901307
994,beaut,1.6
995,beauteous,2.5
996,beauteously,2.6
997,beauteousness,2.7
998,beautician,1.2
999,beauticians,0.4
1000,beauties,2.4
1001,beautification,1.9
1002,beautifications,2.4
1003,beautified,2.1
1004,beautifier,1.7
1005,beautifiers,1.7
1006,beautifies,1.8
1007,beautiful,0.5430378448614698
1008,beautifuler,2.1
1009,beautifulest,2.6
1010,beautifully,0.34068821049646875
1011,beautifulness,2.6
1012,beautify,2.3
1013,beautifying,2.3
1014,beauts,1.7
1015,beauty,1.3649505051264923
1016,belittle,-1.9
1017,belittled,-2.0
1018,beloved,2.3
1019,benefic,1.4
1020,benefice,0.4
1021,beneficed,1.1
1022,beneficence,2.8
1023,beneficences,1.5
1024,beneficent,2.3
1025,beneficently,2.2
1026,benefices,1.1
1027,beneficial,1.9
1028,beneficially,2.4
1029,beneficialness,1.7
1030,beneficiaries,1.8
1031,beneficiary,2.1
1032,beneficiate,1.0
1033,beneficiation,0.4
1034,benefit,1.2060986241536753
1035,benefits,1.6
1036,benefitted,1.7
1037,benefitting,1.9
1038,benevolence,1.7
1039,benevolences,1.9
1040,benevolent,2.7
1041,benevolently,1.4
1042,benevolentness,1.2
1043,benign,1.3
1044,benignancy,0.6
1045,benignant,2.2
1046,benignantly,1.1
1047,benignities,0.9
1048,benignity,1.3
1049,benignly,0.2
1050,bereave,-2.1
1051,bereaved,-2.1
1052,bereaves,-1.9
1053,bereaving,-1.3
1054,best,0.3191839032277628
1055,betray,-3.2
1056,betrayal,-2.8
1057,betrayed,-3.0
1058,betraying,-2.5
1059,betrays,-2.5
1060,better,0.20869794700605995
1061,bias,-0.2288512595807995
1062,biased,-1.1
1063,bitch,-0.10426063789425771
1064,bitched,-2.6
1065,bitcheries,-2.3
1066,bitchery,-2.7
1067,bitches,-2.9
1068,bitchier,-2.0
1069,bitchiest,-3.0
1070,bitchily,-2.6
1071,bitchiness,-2.6
1072,bitching,-1.1
1073,bitchy,-2.3
1074,bitter,-0.15699202140365948
1075,bitterbrush,-0.2
1076,bitterbrushes,-0.6
1077,bittered,-1.8
1078,bitterer,-1.9
1079,bitterest,-2.3
1080,bittering,-1.2
1081,bitterish,-1.6
1082,bitterly,-2.0
1083,bittern,-0.2
1084,bitterness,-1.7
1085,bitterns,-0.4
1086,bitterroots,-0.2
1087,bitters,-0.4
1088,bittersweet,-0.3
1089,bittersweetness,-0.6
1090,bittersweets,-0.2
1091,bitterweeds,-0.5
1092,bizarre,-1.3
1093,blah,-0.20004504596736217
1094,blam,-0.2
1095,blamable,-1.8
1096,blamably,-1.8
1097,blame,-0.2501447332552053
1098,blamed,-2.1
1099,blameful,-1.7
1100,blamefully,-1.6
1101,blameless,0.7
1102,blamelessly,0.9
1103,blamelessness,0.6
1104,blamer,-2.1
1105,blamers,-2.0
1106,blames,-1.7
1107,blameworthiness,-1.6
1108,blameworthy,-2.3
1109,blaming,-2.2
1110,bless,0.9335512743727971
1111,blessed,2.9
1112,blesseder,2.0
1113,blessedest,2.8
1114,blessedly,1.7
1115,blessedness,1.6
1116,blesser,2.6
1117,blessers,1.9
1118,blesses,2.6
1119,blessing,1.5871431423437812
1120,blessings,2.5
1121,blind,-0.11873585533838661
1122,bliss,2.7
1123,blissful,2.9
1124,blithe,1.2
1125,block,0.3138138018233847
1126,blockbuster,1.1283115611840009
1127,blocked,-1.1
1128,blocking,-1.6
1129,blocks,-0.9
1130,bloody,-0.6390227230129769
1131,blurry,-0.4
1132,bold,0.7779876564065034
1133,bolder,1.2
1134,boldest,1.6
1135,boldface,0.3
1136,boldfaced,-0.1
1137,boldfaces,0.1
1138,boldfacing,0.1
1139,boldly,1.5
1140,boldness,1.5
1141,boldnesses,0.9
1142,bolds,1.3
1143,bomb,-0.19138207356639358
1144,bonus,-0.05424967751182456
1145,bonuses,2.6
1146,boost,-0.0002866561559409201
1147,boosted,1.5
1148,boosting,1.4
1149,boosts,1.3
1150,bore,0.42090071205164026
1151,boreal,-0.3
1152,borecole,-0.2
1153,borecoles,-0.3
1154,bored,-1.1
1155,boredom,-1.3
1156,boredoms,-1.1
1157,boreen,0.1
1158,boreens,0.2
1159,boreholes,-0.2
1160,borer,-0.4
1161,borers,-1.2
1162,bores,-1.3
1163,borescopes,-0.1
1164,boresome,-1.3
1165,boring,0.1825329790991603
1166,bother,-0.1285952115821687
1167,botheration,-1.7
1168,botherations,-1.3
1169,bothered,-1.3
1170,bothering,-1.6
1171,bothers,-0.8
1172,bothersome,-1.3
1173,boycott,-1.3
1174,boycotted,-1.7
1175,boycotting,-1.7
1176,boycotts,-1.4
1177,brainwashing,-1.5
1178,brave,-0.058098129475512364
1179,braved,1.9
1180,bravely,2.3
1181,braver,2.4
1182,braveries,2.0
1183,bravery,2.2
1184,braves,1.9
1185,bravest,2.3
1186,breathtaking,2.0
1187,bribe,-0.8
1188,bright,0.786817062620616
1189,brighten,1.9
1190,brightened,2.1
1191,brightener,1.0
1192,brighteners,1.0
1193,brightening,2.5
1194,brightens,1.5
1195,brighter,0.6807746057097228
1196,brightest,3.0
1197,brightly,1.5
1198,brightness,1.6
1199,brightnesses,1.4
1200,brights,0.4
1201,brightwork,1.1
1202,brilliance,2.9
1203,brilliances,2.9
1204,brilliancies,2.3
1205,brilliancy,2.6
1206,brilliant,0.40460884693266436
1207,brilliantine,0.8
1208,brilliantines,2.0
1209,brilliantly,3.0
1210,brilliants,1.9
1211,brisk,0.6
1212,broke,-1.8
1213,broken,-0.32748812030738356
1214,brooding,0.1
1215,brutal,-0.28305503798194065
1216,brutalise,-2.7
1217,brutalised,-2.9
1218,brutalises,-3.2
1219,brutalising,-2.8
1220,brutalities,-2.6
1221,brutality,-3.0
1222,brutalization,-2.1
1223,brutalizations,-2.3
1224,brutalize,-2.9
1225,brutalized,-2.4
1226,brutalizes,-3.2
1227,brutalizing,-3.4
1228,brutally,-3.0
1229,bullied,-3.1
